,ICAO,NAME,LON,LAT
0,ZBAA,北京首都国际机场,116.58444,40.08
1,ZBAD,北京大兴国际机场,116.41056,39.51167
2,ZBTJ,天津滨海国际机场,117.34611,39.12444
3,ZBSJ,石家庄正定国际机场,114.69944,38.27833
4,ZBCD,承德普宁机场,118.081067,41.127671
5,ZBHD,邯郸机场,114.43,36.52389
6,ZBDH,秦皇岛北戴河机场,119.06444,39.66444
7,ZBSN,唐山三女河机场,118.00333,39.71778
8,ZBZJ,张家口宁远机场,114.93083,40.73917
9,ZBYN,太原武宿国际机场,112.62833,37.74694
10,ZBCZ,长治王村机场,113.12611,36.2475
11,ZBDT,大同云冈机场,113.48028,40.05611
12,ZBLF,临汾乔李机场,111.63722,36.13028
13,ZBLL,吕梁大武机场,111.14278,37.68333
14,ZBXZ,忻州五台山机场,112.96778,38.59917
15,ZBYC,运城关公机场,111.03583,35.11639
16,ZBHH,呼和浩特白塔国际机场,111.825,40.85556
17,ZBES,阿尔山伊尔施机场,119.91194,47.31056
18,ZBAL,阿拉善左旗巴彦浩特机场,105.587646,38.748307
19,ZBAR,阿拉善右旗巴丹吉林机场,101.441433,39.226059
20,ZBYZ,巴彦淖尔天吉泰机场,107.747565,40.924701
21,ZBOW,包头东河机场,109.998831,40.561379
22,ZBCF,赤峰玉龙机场,118.834694,42.154178
23,ZBDS,鄂尔多斯伊金霍洛国际机场,109.859595,39.497277
24,ZBEN,额济纳旗桃来机场,101.001008,42.012484
25,ZBER,二连浩特赛乌苏机场,112.097124,43.425747
26,ZBLA,呼伦贝尔海拉尔机场,119.818936,49.209898
27,ZBHZ,霍林郭勒霍林河机场,119.41782,45.48595
28,ZBMZ,满洲里西郊机场,117.329938,49.569344
29,ZBTL,通辽机场,122.202367,43.556756
30,ZBUH,乌海机场,106.801935,39.79184
31,ZBUC,乌兰察布集宁机场,113.117489,41.128558
32,ZBUL,乌兰浩特义勒力特机场,122.002898,46.194374
33,ZBXH,锡林浩特机场,115.960197,43.915776
34,ZBZL,扎兰屯成吉思汗机场,122.767385,47.870602
35,ZYTX,沈阳桃仙国际机场,123.48361,41.64
36,ZYAS,鞍山腾鳌机场,122.866499,41.112941
37,ZYCY,朝阳机场,120.441613,41.546809
38,ZYCH,大连长海机场,122.670287,39.268142
39,ZYTL,大连周水子国际机场,121.541809,38.962738
40,ZYDD,丹东浪头机场,124.287032,40.0318
41,ZYJZ,锦州湾机场,121.28578,40.932802
42,ZYYK,营口兰旗机场,122.355928,40.543417
43,ZYCC,长春龙嘉国际机场,125.68528,43.99611
44,ZYBA,白城长安机场,123.021134,45.509798
45,ZYBS,长白山机场,127.613181,42.066713
46,ZYSQ,松原查干湖机场,124.557061,44.940299
47,ZYTN,通化三源浦机场,125.749459,42.053853
48,ZYYJ,延吉朝阳川国际机场,129.446647,42.887804
49,ZYHB,哈尔滨太平国际机场,126.25028,45.62333
50,ZYDQ,大庆萨尔图机场,125.139642,46.74879
51,ZYFY,抚远东极机场,134.375221,48.203187
52,ZYHE,黑河瑷珲机场,127.319621,50.17938
53,ZYJX,鸡西兴凯湖机场,131.186331,45.30263
54,ZYJD,加格达奇机场,124.118649,50.375039
55,ZYJM,佳木斯东郊机场,130.464122,46.84685
56,ZYJS,建三江湿地机场,132.668028,47.108493
57,ZYMH,漠河古莲机场,122.426757,52.925861
58,ZYMD,牡丹江海浪国际机场,129.588356,44.537158
59,ZYQQ,齐齐哈尔三家子机场,123.923863,47.254025
60,ZYDU,五大连池德都机场,126.131482,48.447149
61,ZYLD,伊春林都机场,129.022886,47.751563
62,ZSSS,上海虹桥国际机场,121.33639,31.19806
63,ZSPD,上海浦东国际机场,121.80528,31.14333
64,ZSNJ,南京禄口国际机场,118.86194,31.74222
65,ZSCG,常州奔牛国际机场,119.787148,31.911012
66,ZSSH,淮安涟水机场,119.134962,33.787438
67,ZSLG,连云港白塔埠机场,118.881765,34.564882
68,ZSNT,南通兴东国际机场,120.980396,32.072036
69,ZSWX,苏南硕放国际机场,120.433763,31.505382
70,ZSXZ,徐州观音国际机场,117.560369,34.053631
71,ZSYN,盐城南洋国际机场,120.208595,33.430043
72,ZSYA,扬州泰州国际机场,119.718872,32.560673
73,ZSHC,杭州萧山国际机场,120.43444,30.22944
74,ZSNB,宁波栎社国际机场,121.466325,29.818948
75,ZSJU,衢州机场,118.901255,28.96788
76,ZSLQ,台州路桥机场,121.421933,28.555434
77,ZSWZ,温州龙湾国际机场,120.852353,27.912995
78,ZSYW,义乌机场,120.032606,29.340682
79,ZSZS,舟山普陀山机场,122.361813,29.933802
80,ZSOF,合肥新桥国际机场,116.98917,31.99111
81,ZSAQ,安庆天柱山机场,117.052473,30.583083
82,ZSJH,池州九华山机场,117.688587,30.736248
83,ZSFY,阜阳西关机场,115.74377,32.877166
84,ZSTX,黄山屯溪国际机场,118.259322,29.727843
85,ZSFZ,福州长乐国际机场,119.66306,25.935
86,ZSLO,龙岩冠豸山机场,116.759033,25.678995
87,ZSQZ,泉州晋江国际机场,118.592905,24.800571
88,ZSSM,三明沙县机场,117.843988,26.421954
89,ZSWY,武夷山机场,118.005088,27.705169
90,ZSAM,厦门高崎国际机场,118.131857,24.534466
91,ZSCN,南昌昌北国际机场,115.90556,28.86167
92,ZSGZ,赣州黄金机场,114.783451,25.84606
93,ZSJD,景德镇罗家机场,117.184321,29.334459
94,ZSGS,吉安井冈山机场,114.747858,26.851223
95,ZSSR,上饶三清山机场,117.969385,28.380734
96,ZSYC,宜春明月山机场,114.315529,27.797414
97,ZSJN,济南遥墙国际机场,117.21611,36.85722
98,ZSDY,东营胜利机场,118.789376,37.50566
99,ZSJG,济宁曲阜机场,116.356532,35.297228
100,ZSLY,临沂启阳机场,118.413303,35.047971
101,ZSQD,青岛流亭国际机场,120.386034,36.26698
102,ZSRZ,日照山字河机场,119.346498,35.396299
103,ZSWF,潍坊机场,119.120047,36.641503
104,ZSWH,威海大水泊国际机场,122.240342,37.189564
105,ZSYT,烟台蓬莱国际机场,120.991373,37.658626
106,ZHCC,郑州新郑国际机场,113.84083,34.51972
107,ZHLY,洛阳北郊机场,112.392757,34.736062
108,ZHNY,南阳姜营机场,112.619676,32.981893
109,ZHXY,信阳明港机场,114.044,32.321893
110,ZHHH,武汉天河国际机场,114.20806,30.78361
111,ZHES,恩施许家坪机场,109.487343,30.320632
112,ZHSN,神农架红坪机场,110.3435,31.618481
113,ZHSY,十堰武当山机场,110.910438,32.587102
114,ZHXF,襄阳刘集机场,112.292554,32.149432
115,ZHYC,宜昌三峡机场,111.485448,30.547628
116,ZGHA,长沙黄花国际机场,113.22083,28.19667
117,ZGCD,常德桃花源机场,111.63924,28.917754
118,ZGHY,衡阳南岳机场,112.619841,26.721128
119,ZGCJ,怀化芷江机场,109.705284,27.44089
120,ZGSY,邵阳武冈机场,110.64111,26.79694
121,ZGLG,永州零陵机场,111.617758,26.341101
122,ZGYY,岳阳三荷机场,113.27778,29.31361
123,ZGDY,张家界荷花国际机场,110.450668,29.103839
124,ZGGG,广州白云国际机场,113.29889,23.3925
125,ZGFS,佛山沙堤机场,113.071602,23.068258
126,ZGHZ,惠州平潭机场,114.607158,23.049552
127,ZGOW,揭阳潮汕国际机场,116.514481,23.546973
128,ZGMX,梅州梅县机场,116.109123,24.263769
129,ZGSZ,深圳宝安国际机场,113.812596,22.626012
130,ZGZJ,湛江坡头机场,110.366021,21.212072
131,ZGSD,珠海金湾机场,113.377082,22.00881
132,ZGNN,南宁吴圩国际机场,108.17222,22.6075
133,ZGBS,百色巴马机场,106.971293,23.716489
134,ZGBH,北海福成机场,109.292861,21.540517
135,ZGKL,桂林两江国际机场,110.051379,25.214953
136,ZGHC,河池金城江机场,107.712027,24.806905
137,ZGZH,柳州白莲机场,109.402947,24.202868
138,ZGWZ,梧州西江机场,111.114558,23.403227
139,ZJHK,海口美兰国际机场,110.45889,19.93472
140,ZJQH,琼海博鳌机场,110.463718,19.139202
141,ZJSY,三亚凤凰国际机场,109.412429,18.307575
142,ZJYX,三沙永兴机场,112.33791,16.828315
143,ZUCK,重庆江北国际机场,106.64167,29.71917
144,ZUWS,重庆巫山机场,111.114558,23.403227
145,ZUQJ,黔江武陵山机场,108.833812,29.514651
146,ZUWX,万州五桥机场,108.431766,30.797725
147,ZUUU,成都双流国际机场,103.94694,30.57833
148,ZUHY,阿坝红原机场,102.359604,32.525311
149,ZUBZ,巴中恩阳机场,106.64694,31.74194
150,ZUDX,达州河市机场,107.431369,31.129714
151,ZUDC,稻城亚丁机场,100.066677,29.308884
152,ZUGZ,甘孜格萨尔机场,99.587719,31.726335
153,ZUKD,甘孜康定机场,101.751964,30.129766
154,ZUGU,广元盘龙机场,105.704913,32.392369
155,ZUJZ,九寨黄龙机场,103.688254,32.851428
156,ZULZ,泸州云龙机场,105.46222,29.02389
157,ZUMY,绵阳南郊机场,104.74977,31.425338
158,ZUNC,南充高坪机场,106.165656,30.78834
159,ZUZH,攀枝花保安营机场,101.79584,26.534875
160,ZUXC,西昌青山机场,102.189047,27.978562
161,ZUYB,宜宾五粮液机场,104.5325,28.85167
162,ZUGY,贵阳龙洞堡国际机场,106.80083,26.53861
163,ZUAS,安顺黄果树机场,105.876597,26.254107
164,ZUBJ,毕节飞雄机场,105.483092,27.261756
165,ZUKJ,凯里黄平机场,107.990799,26.972581
166,ZULB,荔波机场,107.967417,25.443702
167,ZUNP,黎平机场,109.158237,26.317205
168,ZUPS,六盘水月照机场,104.97289,26.602553
169,ZUTR,铜仁凤凰机场,109.31047,27.881844
170,ZUYI,兴义万峰林机场,104.959416,25.081107
171,ZUMT,遵义茅台机场,106.440079,27.962816
172,ZUZY,遵义新舟机场,107.253366,27.800011
173,ZPPP,昆明长水国际机场,102.92667,25.09917
174,ZPBS,保山云瑞机场,99.165552,25.051641
175,ZPCW,沧源佤山机场,99.36548,23.267482
176,ZPDL,大理机场,100.32341,25.646787
177,ZPMS,德宏芒市机场,98.531626,24.402025
178,ZPDQ,迪庆香格里拉机场,99.682651,27.79322
179,ZPJM,澜沧景迈机场,99.789619,22.412585
180,ZPLJ,丽江三义国际机场,100.248134,26.666314
181,ZPLC,临沧博尚机场,100.026421,23.741348
182,ZPNL,宁蒗泸沽湖机场,100.75861,27.54361
183,ZPSM,普洱思茅机场,100.963006,22.793491
184,ZUTC,腾冲驼峰机场,98.48299,24.936651
185,ZPWS,文山普者黑机场,104.333956,23.563464
186,ZPJH,西双版纳嘎洒国际机场,100.766551,21.974653
187,ZPZT,昭通机场,103.754607,27.324366
188,ZULS,拉萨贡嘎机场,90.91194,29.29778
189,ZUAL,阿里昆莎机场,80.058164,32.102107
190,ZUBD,昌都邦达机场,97.107874,30.548558
191,ZUNZ,林芝米林机场,94.337227,29.305973
192,ZURK,日喀则和平机场,89.300592,29.34624
193,ZLXY,西安咸阳国际机场,108.75167,34.44722
194,ZLHZ,汉中城固机场,107.200405,33.124593
195,ZLYA,延安南泥湾机场,109.4675,36.4825
196,ZLYL,榆林榆阳机场,109.602221,38.361933
197,ZLLL,兰州中川国际机场,103.61944,36.5075
198,ZLDH,敦煌机场,94.804992,40.166196
199,ZLXH,甘南夏河机场,102.623137,34.821633
200,ZLJQ,嘉峪关机场,98.341099,39.864546
201,ZLJC,金昌金川机场,102.346523,38.540375
202,ZLLN,陇南成县机场,105.780421,33.786219
203,ZLQY,庆阳西峰机场,107.60884,35.801469
204,ZLTS,天水麦积山机场,105.868886,34.555006
205,ZLZY,张掖甘州机场,100.656261,38.814174
206,ZLXN,西宁曹家堡国际机场,102.04694,36.52833
207,ZLDL,德令哈机场,97.266317,37.128581
208,ZLGM,格尔木机场,94.790359,36.403478
209,ZLGL,果洛玛沁机场,100.302829,34.417942
210,ZLHX,茫崖花土沟机场,90.84167,38.20333
211,ZLYS,玉树巴塘机场,100.6425,38.00861
212,ZLIC,银川河东国际机场,106.3925,38.32167
213,ZLGY,固原六盘山机场,106.225806,36.076453
214,ZLZW,中卫沙坡头机场,105.156345,37.569743
215,ZWWW,乌鲁木齐地窝堡国际机场,87.47417,43.90722
216,ZWAK,阿克苏温宿机场,80.298624,41.259685
217,ZWAT,阿勒泰机场,88.091107,47.75317
218,ZWBL,博乐阿拉山口机场,82.303013,44.900345
219,ZWKN,布尔津喀纳斯机场,87.005696,48.224363
220,ZWFY,富蕴可可托海机场,89.517396,46.808663
221,ZWHM,哈密机场,93.657278,42.841254
222,ZWTN,和田机场,79.874275,37.039653
223,ZWSH,喀什机场,76.013336,39.537295
224,ZWKM,克拉玛依机场,84.959704,45.468253
225,ZWKC,库车龟兹机场,82.876682,41.68274
226,ZWKL,库尔勒机场,86.143635,41.622778
227,ZWCM,且末玉都机场,85.469729,38.233142
228,ZWRQ,若羌楼兰机场,88.02889,38.98861
229,ZWSC,莎车叶尔羌机场,77.064252,38.25107
230,ZWHZ,石河子花园机场,85.896581,44.246631
231,ZWTC,塔城机场,83.342867,46.671033
232,ZWTP,吐鲁番交河机场,89.103432,43.028457
233,ZWTS,图木舒克唐王城机场,111.114558,23.403227
234,ZWNL,新源那拉提机场,83.379112,43.430382
235,ZWYN,伊宁机场,81.334181,43.953542
236,VHHH,香港国际机场,113.91444,22.30889
237,VMMC,澳门国际机场,113.59167,22.14944
238,RCTP,台湾桃园国际机场,121.223889,25.076389
239,RCSS,台北松山机场,121.5525,25.069722
240,RCKH,高雄国际机场,120.350278,22.576944
241,RCMQ,台中国际航空站,120.620833,24.265
242,RCNN,台南航空站,120.211111,22.949167
243,RCYU,花莲航空站,121.61,24.023333
244,RCKU,嘉义航空站,120.403333,23.454444
245,RCFN,台东航空站,121.100278,22.755278
246,RCQC,澎湖航空站,119.628333,23.568611
247,RCBS,金门航空站,118.361111,24.428889
248,ZUGH,广汉机场,104.329722,30.947778
